Year,Competition,Position,Team,Games Played,Won,Lost,Draw,Scored,Conceded,Points,Comments
2023/24,Campeonato Regional Boa Vista,1,Juventude,14.0,9.0,4.0,1.0,32.0,12.0,31,[1-1-0 2-1 4] champions [C]
2023/24,Campeonato Regional Boa Vista,2,África Show,14.0,9.0,4.0,1.0,31.0,12.0,31,[0-1-1 1-2 1]
2023/24,Campeonato Regional Boa Vista,3,Sal-Rei,14.0,6.0,5.0,3.0,27.0,14.0,23,
2023/24,Campeonato Regional Boa Vista,4,Desportivo,14.0,5.0,2.0,7.0,16.0,20.0,17,[1-1-0 4-2 4]
2023/24,Campeonato Regional Boa Vista,5,Sporting,14.0,3.0,8.0,3.0,22.0,18.0,17,[0-1-1 2-4 1]
2023/24,Campeonato Regional Boa Vista,6,Onze Estrelas,14.0,4.0,4.0,6.0,18.0,23.0,16,[A]
2023/24,Campeonato Regional Boa Vista,7,Académica,14.0,3.0,4.0,7.0,11.0,18.0,13,
2023/24,Campeonato Regional Boa Vista,8,Sanjoanense,14.0,1.0,1.0,12.0,7.0,47.0,4,[A]
2022/23,Campeonato Regional Boa Vista,1,Juventude,10.0,6.0,2.0,2.0,14.0,6.0,20,[1-1-0 2-1 4] champions
2022/23,Campeonato Regional Boa Vista,2,Sal-Rei,10.0,6.0,2.0,2.0,20.0,6.0,20,[0-1-1 1-2 1]
2022/23,Campeonato Regional Boa Vista,3,África Show,10.0,6.0,1.0,3.0,15.0,7.0,19,
2022/23,Campeonato Regional Boa Vista,4,Académica,10.0,4.0,1.0,5.0,10.0,11.0,13,[C]
2022/23,Campeonato Regional Boa Vista,5,Desportivo,10.0,4.0,0.0,6.0,11.0,17.0,12,
2022/23,Campeonato Regional Boa Vista,6,Sporting,10.0,1.0,0.0,9.0,8.0,31.0,3,
2021/22,Campeonato Regional Boa Vista,1,Académica,14.0,11.0,2.0,1.0,31.0,9.0,35,champions
2021/22,Campeonato Regional Boa Vista,2,Sal-Rei,14.0,10.0,3.0,1.0,41.0,9.0,33,
2021/22,Campeonato Regional Boa Vista,3,África Show,14.0,7.0,2.0,5.0,23.0,12.0,23,
2021/22,Campeonato Regional Boa Vista,4,Onze Estrelas,14.0,5.0,4.0,5.0,27.0,33.0,19,
2021/22,Campeonato Regional Boa Vista,5,Juventude,14.0,4.0,4.0,6.0,21.0,26.0,16,
2021/22,Campeonato Regional Boa Vista,6,Sporting,14.0,4.0,1.0,9.0,14.0,41.0,13,
2021/22,Campeonato Regional Boa Vista,7,Sanjoanense,14.0,3.0,2.0,9.0,22.0,33.0,11,
2021/22,Campeonato Regional Boa Vista,8,Desportivo,14.0,2.0,2.0,10.0,16.0,32.0,8,
2020/21,Campeonato Regional Boa Vista,1,Sporting,4.0,3.0,1.0,0.0,14.0,4.0,10,[C] Regional championship suspended due COVID-19
2020/21,Campeonato Regional Boa Vista,2,Sal-Rei,3.0,3.0,0.0,0.0,6.0,1.0,9,Regional championship suspended due COVID-19
2020/21,Campeonato Regional Boa Vista,3,Académica,3.0,2.0,0.0,1.0,4.0,2.0,6,Regional championship suspended due COVID-19
2020/21,Campeonato Regional Boa Vista,4,África Show,4.0,2.0,0.0,2.0,8.0,7.0,6,Regional championship suspended due COVID-19
2020/21,Campeonato Regional Boa Vista,5,Juventude,3.0,0.0,1.0,2.0,2.0,7.0,1,Regional championship suspended due COVID-19
2020/21,Campeonato Regional Boa Vista,6,Sanjoanense,3.0,0.0,1.0,2.0,2.0,8.0,1,Regional championship suspended due COVID-19
2020/21,Campeonato Regional Boa Vista,7,Desportivo,4.0,0.0,1.0,3.0,1.0,8.0,1,Regional championship suspended due COVID-19
2019/20,Campeonato Regional Boa Vista,1,Sporting,12.0,11.0,0.0,1.0,38.0,9.0,33,champions
2019/20,Campeonato Regional Boa Vista,2,Onze Estrelas,12.0,8.0,2.0,2.0,28.0,15.0,26,[C]
2019/20,Campeonato Regional Boa Vista,3,Sal-Rei,12.0,6.0,2.0,4.0,28.0,17.0,20,
2019/20,Campeonato Regional Boa Vista,4,Juventude,12.0,6.0,2.0,4.0,16.0,18.0,20,
2019/20,Campeonato Regional Boa Vista,5,Académica,12.0,6.0,1.0,5.0,21.0,19.0,19,
2019/20,Campeonato Regional Boa Vista,6,África Show,12.0,2.0,4.0,6.0,20.0,22.0,10,
2019/20,Campeonato Regional Boa Vista,7,Sanjoanense,12.0,2.0,2.0,8.0,14.0,29.0,8,
2019/20,Campeonato Regional Boa Vista,8,Desportivo,12.0,0.0,1.0,11.0,4.0,40.0,1,
2018/19,Campeonato Regional Boa Vista,1,Onze Estrelas,14.0,9.0,2.0,3.0,27.0,13.0,29,champions
2018/19,Campeonato Regional Boa Vista,2,Académica,14.0,8.0,3.0,3.0,21.0,11.0,27,
2018/19,Campeonato Regional Boa Vista,3,África Show,14.0,6.0,5.0,3.0,25.0,21.0,23,
2018/19,Campeonato Regional Boa Vista,4,Sporting,14.0,6.0,5.0,3.0,20.0,16.0,23,
2018/19,Campeonato Regional Boa Vista,5,Sal-Rei,14.0,4.0,3.0,7.0,28.0,23.0,15,[C]
2018/19,Campeonato Regional Boa Vista,6,Sanjoanense,14.0,5.0,0.0,9.0,22.0,32.0,15,
2018/19,Campeonato Regional Boa Vista,7,Desportivo,14.0,3.0,4.0,7.0,16.0,32.0,13,
2018/19,Campeonato Regional Boa Vista,8,Juventude,14.0,2.0,4.0,8.0,18.0,29.0,10,
2017/18,Campeonato Regional Boa Vista,1,Sal-Rei,14.0,10.0,1.0,3.0,35.0,10.0,31,champions [C]
2017/18,Campeonato Regional Boa Vista,2,Académica,14.0,9.0,3.0,2.0,29.0,11.0,30,
2017/18,Campeonato Regional Boa Vista,3,Onze Estrelas,14.0,8.0,1.0,5.0,23.0,22.0,25,
2017/18,Campeonato Regional Boa Vista,4,África Show,14.0,7.0,2.0,5.0,28.0,20.0,23,
2017/18,Campeonato Regional Boa Vista,5,Sporting,14.0,7.0,1.0,6.0,31.0,19.0,22,
2017/18,Campeonato Regional Boa Vista,6,Sanjoanense,14.0,6.0,1.0,7.0,20.0,24.0,19,
2017/18,Campeonato Regional Boa Vista,7,Juventude,14.0,4.0,1.0,9.0,17.0,34.0,13,
2017/18,Campeonato Regional Boa Vista,8,Desportivo,14.0,0.0,0.0,14.0,10.0,53.0,0,
2016/17,Campeonato Regional Boa Vista,1,Sal-Rei,14.0,10.0,2.0,2.0,35.0,10.0,32,champions [C]
2016/17,Campeonato Regional Boa Vista,2,Académica,14.0,9.0,3.0,2.0,19.0,11.0,30,
2016/17,Campeonato Regional Boa Vista,3,Onze Estrelas,14.0,8.0,3.0,3.0,27.0,11.0,27,
